@relation Elder1_activity

@attribute meanx real
@attribute meany real
@attribute meanz real
@attribute rmsx real
@attribute rmsy real
@attribute rmsz real
@attribute sdx real
@attribute sdy real
@attribute sdz real
@attribute madx real
@attribute mady real
@attribute madz real
@attribute parameter real
@attribute activity { Lying,Sitting,Standing,Walking }


@data
-0.84,0.309999999999999,0,0.841427358718505,0.311448230047948,0,0.0489897948556635,0.03,0,0.708,0.048,0.018,0,Lying
-0.885,0.304999999999999,0,0.885720046064218,0.305777697028413,0,0.0357071421427142,0.0217944947177033,0,0.7845,0.0255,0.0095,0,Lying
-0.865,0.365,0,0.866314030822542,0.368103246386119,0,0.0476969600708472,0.0476969600708473,0,0.7505,0.0455,0.0455,0,Lying
-0.795,0.454999999999999,0,0.795298686029343,0.457711699653832,0,0.0217944947177033,0.0497493718553309,0,0.6325,0.0095,0.0494999999999999,0,Lying
-0.9,0.16,0.299999999999999,0.9,0.167332005306815,0.3,0,0.0489897948556635,0,0.81,0,0.048,0,Lying
-0.87,0.155,0.279999999999999,0.87120606058498,0.162788205960997,0.288097205817758,0.0458257569495584,0.0497493718553309,0.0678232998312526,0.759,0.042,0.0495,0.05,Lying
-0.89,0.2,0.245,0.890505474435727,0.2,0.25,0.0299999999999999,0,0.0497493718553309,0.793,0.018,0,0.0494999999999999,Lying
-0.805,0.264999999999999,0.109999999999999,0.809011742807235,0.269258240356725,0.134164078649987,0.0804673846971554,0.0476969600708472,0.0768114574786861,0.6545,0.0575,0.0454999999999999,0.063,Lying
-0.895,0.269999999999999,0.175,0.896939239859646,0.277488738510232,0.183030052177231,0.0589491306127579,0.0640312423743284,0.053619026473818,0.8045,0.0379999999999999,0.056,0.045,Lying
-0.755,0.42,0.289999999999999,0.757297827806207,0.421900462194579,0.291547594742265,0.058949130612758,0.0399999999999999,0.0299999999999999,0.5735,0.055,0.032,0.018,Lying
-0.76,0.364999999999999,0.3,0.761577310586391,0.368103246386119,0.303315017762062,0.0489897948556636,0.0476969600708473,0.0447213595499958,0.58,0.048,0.0455,0.02,Lying
-0.86,0.0999999999999999,0.279999999999999,0.864291617453276,0.154919333848296,0.282842712474619,0.0860232526704262,0.118321595661992,0.0399999999999999,0.747,0.072,0.1,0.032,Lying
-0.909999999999999,-0.425,0.11,0.910494371207203,0.439886348958455,0.148323969741913,0.0299999999999999,0.113468057179102,0.0994987437106619,0.829,0.018,0.0974999999999999,0.083,Lying
-0.825,-0.34,0.175,0.827345151674922,0.354964786985977,0.180277563773199,0.0622494979899436,0.101980390271855,0.0433012701892219,0.6845,0.0525,0.092,0.0375,Lying
-0.939999999999999,0.00499999999999999,0.045,0.941275730060007,0.0866025403784438,0.0670820393249937,0.0489897948556635,0.0864580823289529,0.049749371855331,0.885999999999999,0.048,0.0664999999999999,0.0495,Lying
