@relation murad

@attribute meanx real
@attribute meany real
@attribute meanz real
@attribute rmsx real
@attribute rmsy real
@attribute rmsz real
@attribute sdx real
@attribute sdy real
@attribute sdz real
@attribute ra real
@attribute madx real
@attribute mady real
@attribute madz real
@attribute activity { Lying,Falling,Sitting,Standing,Walking }


@data
-0.93,0,0.08,0.931128347758782,0,0.0894427190999916,0.0458257569495583,0,0.04,0.933434518324665,0.042,0,0.032,Lying
-0.95,0,0.075,0.951314879522022,0,0.0866025403784438,0.0499999999999999,0,0.0433012701892219,0.952955927627296,0.0499999999999999,0,0.0375,Lying
-0.945,0,0.08,0.94630861773525,0,0.0894427190999916,0.0497493718553309,0,0.04,0.948380198021869,0.0494999999999999,0,0.032,Lying
-0.93,0,0.0549999999999999,0.931128347758782,0,0.0741619848709566,0.0458257569495583,0,0.0497493718553309,0.931624924527033,0.042,0,0.0495,Lying
-0.905,0,0.08,0.905262392900533,0,0.0894427190999916,0.0217944947177033,0,0.04,0.908529030906552,0.0095,0,0.032,Lying
-0.9,-0.0549999999999999,0.005,0.9,0.0741619848709566,0.0223606797749979,0,0.0497493718553309,0.0217944947177033,0.901692852361601,0,0.0495,0.0095,Lying
-0.81,-0.22,-0.01,0.824014562978106,0.234520787991171,0.0316227766016838,0.151327459504215,0.0812403840463596,0.03,0.839404550857332,0.118,0.06,0.018,Lying
-0.619999999999999,-0.609999999999999,-0.095,0.632455532033675,0.63166446789415,0.0974679434480896,0.124899959967967,0.164012194668567,0.0217944947177033,0.874942855276845,0.102,0.137999999999999,0.0095,Lying
-0.614999999999999,-0.704999999999999,-0.1,0.616035713250457,0.705336798983294,0.1,0.0357071421427142,0.0217944947177033,0,0.940877250229805,0.0255,0.0095,0,Lying
-0.88,-0.625,-0.095,0.884307638777365,0.634428877022476,0.128452325786651,0.0871779788708135,0.108972473588516,0.0864580823289529,1.08353587850149,0.068,0.09,0.0759999999999999,Lying
-0.965,0.005,0.205,1.00772019926168,0.239791576165635,0.283725219182222,0.290301567339895,0.239739441894737,0.19615045245933,0.986547008509985,0.2075,0.186,0.166499999999999,Lying
-0.81,0.4,0.085,0.850881895447306,0.408656334834051,0.0921954445729289,0.260576284415907,0.0836660026534075,0.0357071421427142,0.907372580586387,0.152999999999999,0.06,0.0255,Lying
-0.815,0.359999999999999,0.085,0.818229796573065,0.366060104354462,0.0921954445729289,0.0726291952316697,0.066332495807108,0.0357071421427142,0.895013966371475,0.0595,0.06,0.0255,Lying
-0.525,0.645,0.315,0.547265931700485,0.706045324324154,0.329393381840012,0.154515371403624,0.287184609615487,0.0963068014212911,0.889311531466898,0.129999999999999,0.2395,0.0865,Lying
0.134999999999999,0.915,0.29,0.174642491965729,0.918966811152611,0.303315017762062,0.110792599030801,0.0852936105461599,0.0888819441731558,0.969303873921898,0.0984999999999999,0.0625,0.0629999999999999,Lying
0.13,0.855,0.289999999999999,0.170293863659264,0.856446145417212,0.293257565972303,0.11,0.0497493718553309,0.0435889894354067,0.912154044007918,0.096,0.0494999999999999,0.027,Lying
0.09,0.9,0.299999999999999,0.0948683298050514,0.9,0.3,0.0299999999999999,0,0,0.952942810456115,0.018,0,0,Lying
0.1,0.9,0.299999999999999,0.1,0.9,0.3,0,0,0,0.953939201416945,0,0,0,Lying
0.1,0.89,0.299999999999999,0.1,0.890505474435727,0.3,0,0.0299999999999999,0,0.944510455209469,0,0.018,0,Lying
0.1,0.9,0.299999999999999,0.1,0.9,0.3,0,0,0,0.953939201416945,0,0,0,Lying
0.1,0.895,0.299999999999999,0.1,0.895265323800715,0.3,0,0.0217944947177033,0,0.94922336675832,0,0.0095,0,Lying
0.1,0.9,0.299999999999999,0.1,0.9,0.3,0,0,0,0.953939201416945,0,0,0,Lying
0.1,0.895,0.299999999999999,0.1,0.895265323800715,0.3,0,0.0217944947177033,0,0.94922336675832,0,0.0095,0,Lying
0.1,0.9,0.299999999999999,0.1,0.9,0.3,0,0,0,0.953939201416945,0,0,0,Lying
0.1,0.9,0.299999999999999,0.1,0.9,0.3,0,0,0,0.953939201416945,0,0,0,Lying
0.1,0.9,0.299999999999999,0.1,0.9,0.3,0,0,0,0.953939201416945,0,0,0,Lying
0.1,0.895,0.299999999999999,0.1,0.895265323800715,0.3,0,0.0217944947177033,0,0.94922336675832,0,0.0095,0,Lying
0.1,0.9,0.299999999999999,0.1,0.9,0.3,0,0,0,0.953939201416945,0,0,0,Lying
-0.934999999999999,0,0.03,0.936215787091843,0,0.0547722557505166,0.0476969600708472,0,0.0458257569495584,0.935481159617872,0.0455,0,0.042,Falling
-0.939999999999999,0,0.045,0.941275730060007,0,0.0670820393249937,0.0489897948556635,0,0.0497493718553309,0.941076511235935,0.048,0,0.0495,Falling
-0.925,0,0.03,0.926012958872606,0,0.0547722557505166,0.0433012701892219,0,0.0458257569495584,0.92548635862448,0.0375,0,0.042,Falling
-0.925,0,0.045,0.926012958872606,0,0.0670820393249937,0.0433012701892219,0,0.0497493718553309,0.926093947718048,0.0375,0,0.0495,Falling
-0.92,0,0.0349999999999999,0.920869154657707,0,0.0670820393249937,0.0399999999999999,0,0.0572276157112979,0.920665520153763,0.032,0,0.049,Falling
-0.97,-0.02,0.08,0.972111104761179,0.0447213595499958,0.114017542509913,0.0640312423743285,0.04,0.0812403840463596,0.973498844375277,0.056,0.032,0.072,Falling
-0.93,0.02,0.015,0.931128347758782,0.0447213595499958,0.0387298334620741,0.0458257569495584,0.04,0.0357071421427142,0.930335960822755,0.042,0.032,0.0255,Falling
-0.905,0,0.0349999999999999,0.905262392900533,0,0.0591607978309961,0.0217944947177033,0,0.0476969600708472,0.905676542701642,0.0095,0,0.0455,Falling
-0.949999999999999,0,0.01,0.951314879522022,0,0.0316227766016838,0.0499999999999999,0,0.0299999999999999,0.950052630121089,0.0499999999999999,0,0.018,Falling
-0.9,0,0,0.9,0,0,0,0,0,0.9,0,0,0,Falling
-0.895,-0.0749999999999999,0,0.895265323800715,0.102469507659595,0,0.0217944947177033,0.0698212002188447,0,0.898136960602334,0.0095,0.06,0,Falling
-0.719999999999999,-0.424999999999999,-0.075,0.726636084983398,0.439886348958455,0.0866025403784438,0.0979795897113271,0.113468057179102,0.0433012701892219,0.839434333345974,0.088,0.0974999999999999,0.0375,Falling
-0.355,-0.8,-0.2,0.380131556174964,0.81117199162693,0.216794833886788,0.135922772190681,0.134164078649987,0.0836660026534075,0.897788950700553,0.1085,0.11,0.0699999999999999,Falling
0.264999999999999,-0.919999999999999,-0.32,0.550908340833572,1.04067285925981,0.42661458015403,0.482985507028937,0.486415460280612,0.282134719593317,1.00946768150347,0.388,0.416,0.254,Falling
0.03,-0.9,-0.394999999999999,0.262678510731273,0.914877040918614,0.433012701892219,0.260959767013997,0.164316767251549,0.177411949992101,0.983323446277978,0.159,0.13,0.127,Falling
-0.06,-1.07499999999999,-0.2,0.0894427190999916,1.10927904514599,0.284604989415154,0.066332495807108,0.273632965850242,0.202484567313165,1.09509132039296,0.06,0.175,0.12,Falling
-0.12,-0.929999999999999,-0.17,0.126491106406735,0.931665175908169,0.178885438199983,0.04,0.0556776436283002,0.0556776436283002,0.952995278057556,0.032,0.049,0.049,Falling
-0.519999999999999,-0.84,-0.23,0.524404424085075,0.841427358718505,0.236643191323984,0.0678232998312526,0.0489897948556635,0.0556776436283002,1.01434708063857,0.0559999999999999,0.048,0.049,Falling
-0.919999999999999,-0.1,0,0.920869154657707,0.1,0,0.0399999999999999,0,0,0.925418824100741,0.032,0,0,Sitting
-0.9,-0.1,0,0.9,0.1,0,0,0,0,0.905538513813741,0,0,0,Sitting
-0.905,-0.1,0,0.905262392900533,0.1,0,0.0217944947177033,0,0,0.910508099909056,0.0095,0,0,Sitting
-0.92,-0.105,0,0.920869154657707,0.107238052947636,0,0.0399999999999999,0.0217944947177033,0,0.925972461793546,0.032,0.0095,0,Sitting
-0.915,-0.1,0,0.915696456256111,0.1,0,0.0357071421427142,0,0,0.920448260360135,0.0255,0,0,Sitting
-0.929999999999999,-0.1,0,0.931128347758782,0.1,0,0.0458257569495584,0,0,0.935360892917808,0.042,0,0,Sitting
-0.905,-0.105,0,0.905262392900533,0.107238052947636,0,0.0217944947177033,0.0217944947177033,0,0.91107079856617,0.0095,0.0095,0,Sitting
-0.929999999999999,-0.1,0,0.931128347758782,0.1,0,0.0458257569495584,0,0,0.935360892917808,0.042,0,0,Sitting
-0.905,-0.1,0,0.905262392900533,0.1,0,0.0217944947177033,0,0,0.910508099909056,0.0095,0,0,Sitting
-0.919999999999999,-0.11,0,0.920869154657707,0.114017542509913,0,0.0399999999999999,0.0299999999999999,0,0.92655275079188,0.032,0.018,0,Sitting
-0.9,-0.1,0,0.9,0.1,0,0,0,0,0.905538513813741,0,0,0,Sitting
-0.925,-0.11,0,0.926012958872606,0.114017542509913,0,0.0433012701892219,0.0299999999999999,0,0.931517579007503,0.0375,0.018,0,Sitting
-0.91,-0.105,0,0.910494371207203,0.107238052947636,0,0.0299999999999999,0.0217944947177033,0,0.916037662981168,0.018,0.0095,0,Sitting
-0.9,-0.11,0,0.9,0.114017542509913,0,0,0.0299999999999999,0,0.906697303403953,0,0.018,0,Sitting
-0.909999999999999,-0.11,0,0.910494371207203,0.114017542509913,0,0.0299999999999999,0.0299999999999999,0,0.916624241442478,0.018,0.018,0,Sitting
-0.909999999999999,-0.105,0,0.910494371207203,0.107238052947636,0,0.0299999999999999,0.0217944947177033,0,0.916037662981168,0.018,0.0095,0,Sitting
-0.905,-0.105,0,0.905262392900533,0.107238052947636,0,0.0217944947177033,0.0217944947177033,0,0.91107079856617,0.0095,0.0095,0,Sitting
-0.909999999999999,-0.1,0,0.910494371207203,0.1,0,0.0299999999999999,0,0,0.915478017212865,0.018,0,0,Sitting
-0.915,-0.1,0,0.915696456256111,0.1,0,0.0357071421427142,0,0,0.920448260360135,0.0255,0,0,Sitting
-0.915,-0.105,0,0.915696456256111,0.107238052947636,0,0.0357071421427142,0.0217944947177033,0,0.921004885980525,0.0255,0.0095,0,Sitting
-0.92,-0.1,0,0.920869154657707,0.1,0,0.0399999999999999,0,0,0.925418824100742,0.032,0,0,Sitting
