@relation sujatha

@attribute meanx real
@attribute meany real
@attribute meanz real
@attribute rmsx real
@attribute rmsy real
@attribute rmsz real
@attribute sdx real
@attribute sdy real
@attribute sdz real
@attribute ra real
@attribute madx real
@attribute mady real
@attribute madz real
@attribute activity { Sitting,Standing,Walkfast,Walking }


@data
-0.875,0.345,0.075,0.876070773396761,0.348568501158667,0.0866025403784438,0.0433012701892219,0.049749371855331,0.0433012701892219,0.943543851657144,0.0375,0.0495,0.0375,Sitting
-0.875,0.335,0.025,0.876070773396761,0.338378486313772,0.05,0.0433012701892219,0.0476969600708473,0.0433012701892219,0.937269971779743,0.0375,0.0455,0.0375,Sitting
-0.855,0.385,0.01,0.856446145417212,0.386652298583624,0.0316227766016838,0.0497493718553309,0.0357071421427142,0.0299999999999999,0.937736636801613,0.0494999999999999,0.0255,0.018,Sitting
-0.845,0.39,0,0.846463230152379,0.391152144312159,0,0.0497493718553309,0.03,0,0.930658369112963,0.0494999999999999,0.018,0,Sitting
-0.845,0.395,0.005,0.846463230152379,0.395600808897049,0.0223606797749979,0.0497493718553309,0.0217944947177033,0.0217944947177033,0.932778108662505,0.0494999999999999,0.0095,0.0095,Sitting
-0.85,0.395,0,0.85146931829632,0.395600808897049,0,0.0499999999999999,0.0217944947177033,0,0.937296644611512,0.0499999999999999,0.0095,0,Sitting
-0.845,0.4,0.01,0.846463230152379,0.4,0.0316227766016838,0.0497493718553309,0,0.0299999999999999,0.934946522534845,0.0494999999999999,0,0.018,Sitting
-0.84,0.4,0.005,0.841427358718505,0.4,0.0223606797749979,0.0489897948556635,0,0.0217944947177033,0.93038970329642,0.048,0,0.0095,Sitting
-0.865,0.395,0.005,0.866314030822542,0.395600808897049,0.0223606797749979,0.0476969600708472,0.0217944947177033,0.0217944947177033,0.950933751635728,0.0455,0.0095,0.0095,Sitting
-0.86,0.4,0,0.861394218694321,0.4,0,0.0489897948556635,0,0,0.94847245611035,0.048,0,0,Sitting
-0.88,0.385,0,0.880908621821809,0.386652298583624,0,0.0399999999999999,0.0357071421427142,0,0.960533705811514,0.032,0.0255,0,Sitting
-0.88,0.4,0,0.880908621821809,0.4,0,0.0399999999999999,0,0,0.966643677887565,0.032,0,0,Sitting
-0.865,0.395,0,0.866314030822542,0.395600808897049,0,0.0476969600708472,0.0217944947177033,0,0.950920606570285,0.0455,0.0095,0,Sitting
-0.84,0.39,0,0.841427358718505,0.391152144312159,0,0.0489897948556635,0.03,0,0.926120942425988,0.048,0.018,0,Sitting
-0.845,0.4,0,0.846463230152379,0.4,0,0.0497493718553309,0,0,0.934893042010689,0.0494999999999999,0,0,Sitting
-0.87,0.4,0.01,0.87120606058498,0.4,0.0316227766016838,0.0458257569495584,0,0.0299999999999999,0.957601169589929,0.042,0,0.018,Sitting
-0.855,0.395,0.005,0.856446145417212,0.395600808897049,0.0223606797749979,0.0497493718553309,0.0217944947177033,0.0217944947177033,0.941846590480636,0.0494999999999999,0.0095,0.0095,Sitting
-0.855,0.4,0.03,0.856446145417212,0.4,0.0547722557505166,0.0497493718553309,0,0.0458257569495584,0.944417810081957,0.0494999999999999,0,0.042,Sitting
-0.84,0.4,0.005,0.841427358718505,0.4,0.0223606797749979,0.0489897948556635,0,0.0217944947177033,0.93038970329642,0.048,0,0.0095,Sitting
-0.825,0.4,0.005,0.826135582092915,0.4,0.0223606797749979,0.0433012701892219,0,0.0217944947177033,0.916869674490328,0.0375,0,0.0095,Sitting
-0.855,0.395,0,0.856446145417212,0.395600808897049,0,0.0497493718553309,0.0217944947177033,0,0.941833318586681,0.0494999999999999,0.0095,0,Sitting
-0.83,0.4,0,0.831264097624816,0.4,0,0.0458257569495584,0,0,0.921357693840997,0.042,0,0,Sitting
-0.84,0.395,0.005,0.841427358718505,0.395600808897049,0.0223606797749979,0.0489897948556635,0.0217944947177033,0.0217944947177033,0.928251043629901,0.048,0.0095,0.0095,Sitting
-0.84,0.4,0.005,0.841427358718505,0.4,0.0223606797749979,0.0489897948556635,0,0.0217944947177033,0.93038970329642,0.048,0,0.0095,Sitting
-0.85,0.4,0,0.85146931829632,0.4,0,0.0499999999999999,0,0,0.939414711402797,0.0499999999999999,0,0,Sitting
-0.855,0.395,0.01,0.856446145417212,0.395600808897049,0.0316227766016838,0.0497493718553309,0.0217944947177033,0.0299999999999999,0.941886405040438,0.0494999999999999,0.0095,0.018,Sitting
-0.885,0.37,0,0.885720046064218,0.372827037646145,0,0.0357071421427142,0.0458257569495584,0,0.959231463203746,0.0255,0.042,0,Sitting
-0.865,0.39,0.005,0.866314030822542,0.391152144312159,0.0223606797749979,0.0476969600708472,0.03,0.0217944947177033,0.94886774631663,0.0455,0.018,0.0095,Sitting
-0.85,0.4,0.01,0.85146931829632,0.4,0.0316227766016838,0.0499999999999999,0,0.0299999999999999,0.939467934524643,0.0499999999999999,0,0.018,Sitting
-0.845,0.4,0.01,0.846463230152379,0.4,0.0316227766016838,0.0497493718553309,0,0.0299999999999999,0.934946522534845,0.0494999999999999,0,0.018,Sitting
-0.835,0.39,0.01,0.836361166004257,0.391152144312159,0.0316227766016838,0.0476969600708472,0.03,0.0299999999999999,0.921642555441099,0.0455,0.018,0.018,Sitting
-0.83,0.4,0.005,0.831264097624816,0.4,0.0223606797749979,0.0458257569495584,0,0.0217944947177033,0.921371260676173,0.042,0,0.0095,Sitting
-0.85,0.395,0.02,0.85146931829632,0.395600808897049,0.0447213595499958,0.0499999999999999,0.0217944947177033,0.04,0.937509999946667,0.0499999999999999,0.0095,0.032,Sitting
-0.845,0.4,0.065,0.846463230152379,0.4,0.0806225774829855,0.0497493718553309,0,0.0476969600708472,0.937149934642264,0.0494999999999999,0,0.0455,Sitting
-0.82,0.4,0.015,0.820975030070951,0.4,0.0387298334620741,0.0399999999999999,0,0.0357071421427142,0.912482876551664,0.032,0,0.0255,Sitting
-0.71,0.524999999999999,0.135,0.712039324756716,0.526782687642636,0.143178210632763,0.053851648071345,0.0433012701892219,0.0476969600708472,0.893280471072775,0.036,0.0375,0.0455,Standing
-0.749999999999999,0.5,0.1,0.751664818918645,0.5,0.1,0.05,0,0,0.906917857360852,0.05,0,0,Standing
-0.759999999999999,0.5,0.1,0.761577310586391,0.5,0.1,0.0489897948556636,0,0,0.915204895091803,0.048,0,0,Standing
-0.775,0.5,0.1,0.776208734813001,0.5,0.1,0.0433012701892219,0,0,0.927698765763973,0.0375,0,0,Standing
-0.764999999999999,0.5,0.115,0.766485485837794,0.5,0.120415945787922,0.0476969600708473,0,0.0357071421427142,0.921113456638214,0.0455,0,0.0255,Standing
-0.745,0.5,0.1,0.746659226153404,0.5,0.1,0.049749371855331,0,0,0.902787350376599,0.0495,0,0,Standing
-0.735,0.5,0.1,0.736545993132811,0.5,0.1,0.0476969600708473,0,0,0.89455296098107,0.0455,0,0,Standing
-0.745,0.5,0.1,0.746659226153404,0.5,0.1,0.049749371855331,0,0,0.902787350376599,0.0495,0,0,Standing
-0.74,0.5,0.1,0.741619848709566,0.5,0.1,0.0489897948556636,0,0,0.898665677546438,0.048,0,0,Standing
-0.744999999999999,0.5,0.11,0.746659226153404,0.5,0.114017542509913,0.049749371855331,0,0.0299999999999999,0.903949666740355,0.0495,0,0.018,Standing
-0.77,0.5,0.1,0.771362431027075,0.5,0.1,0.0458257569495584,0,0,0.923525852372309,0.042,0,0,Standing
-0.755,0.5,0.1,0.756637297521078,0.5,0.1,0.049749371855331,0,0,0.911057078343613,0.0495,0,0,Standing
-0.755,0.5,0.1,0.756637297521078,0.5,0.1,0.049749371855331,0,0,0.911057078343613,0.0495,0,0,Standing
-0.76,0.5,0.1,0.761577310586391,0.5,0.1,0.0489897948556636,0,0,0.915204895091804,0.048,0,0,Standing
-0.765,0.5,0.1,0.766485485837794,0.5,0.1,0.0476969600708473,0,0,0.919361191262716,0.0455,0,0,Standing
-0.76,0.5,0.1,0.761577310586391,0.5,0.1,0.0489897948556636,0,0,0.915204895091804,0.048,0,0,Standing
-0.775,0.5,0.1,0.776208734813001,0.5,0.1,0.0433012701892219,0,0,0.927698765763973,0.0375,0,0,Standing
-0.745,0.5,0.1,0.746659226153404,0.5,0.1,0.049749371855331,0,0,0.902787350376599,0.0495,0,0,Standing
-0.755,0.5,0.11,0.756637297521078,0.5,0.114017542509913,0.049749371855331,0,0.03,0.912208857663638,0.0495,0,0.018,Standing
-0.745,0.5,0.1,0.746659226153404,0.5,0.1,0.049749371855331,0,0,0.902787350376599,0.0495,0,0,Standing
-0.744999999999999,0.5,0.1,0.746659226153404,0.5,0.1,0.049749371855331,0,0,0.902787350376598,0.0495,0,0,Standing
-0.745,0.5,0.1,0.746659226153404,0.5,0.1,0.049749371855331,0,0,0.902787350376599,0.0495,0,0,Standing
-0.765,0.5,0.1,0.766485485837794,0.5,0.1,0.0476969600708473,0,0,0.919361191262715,0.0455,0,0,Standing
-0.745,0.5,0.1,0.746659226153404,0.5,0.1,0.049749371855331,0,0,0.902787350376599,0.0495,0,0,Standing
-0.749999999999999,0.5,0.1,0.751664818918645,0.5,0.1,0.05,0,0,0.906917857360852,0.05,0,0,Standing
-0.744999999999999,0.5,0.1,0.746659226153404,0.5,0.1,0.049749371855331,0,0,0.902787350376598,0.0495,0,0,Standing
-0.719999999999999,0.5,0.1,0.721110255092797,0.5,0.1,0.04,0,0,0.88226980000451,0.032,0,0,Standing
-0.73,0.5,0.1,0.731436941916389,0.5,0.1,0.0458257569495584,0,0,0.890449324779349,0.042,0,0,Standing
-0.734999999999999,0.5,0.1,0.736545993132811,0.5,0.1,0.0476969600708473,0,0,0.89455296098107,0.0455,0,0,Standing
-0.745,0.5,0.1,0.746659226153404,0.5,0.1,0.049749371855331,0,0,0.902787350376599,0.0495,0,0,Standing
-0.715,0.5,0.1,0.715891053163817,0.5,0.1,0.0357071421427142,0,0,0.87819416987361,0.0255,0,0,Standing
-0.75,0.5,0.1,0.751664818918645,0.5,0.1,0.05,0,0,0.906917857360852,0.05,0,0,Standing
-0.734999999999999,0.5,0.1,0.736545993132811,0.5,0.1,0.0476969600708473,0,0,0.89455296098107,0.0455,0,0,Standing
-0.74,0.5,0.1,0.741619848709566,0.5,0.1,0.0489897948556636,0,0,0.898665677546438,0.048,0,0,Standing
-0.719999999999999,0.5,0.1,0.721110255092797,0.5,0.1,0.04,0,0,0.88226980000451,0.032,0,0,Standing
-0.734999999999999,0.5,0.1,0.736545993132811,0.5,0.1,0.0476969600708473,0,0,0.89455296098107,0.0455,0,0,Standing
-0.739999999999999,0.5,0.1,0.741619848709566,0.5,0.1,0.0489897948556636,0,0,0.898665677546438,0.048,0,0,Standing
-0.725,0.505,0.1,0.726291952316697,0.505470078244004,0.1,0.0433012701892219,0.0217944947177033,0,0.889185020116736,0.0375,0.0095,0,Standing
-0.739999999999999,0.5,0.1,0.741619848709566,0.5,0.1,0.0489897948556636,0,0,0.898665677546438,0.048,0,0,Standing
-0.735,0.5,0.1,0.736545993132811,0.5,0.1,0.0476969600708473,0,0,0.89455296098107,0.0455,0,0,Standing
-0.744999999999999,0.5,0.1,0.746659226153404,0.5,0.1,0.049749371855331,0,0,0.902787350376598,0.0495,0,0,Standing
-0.76,0.5,0.1,0.761577310586391,0.5,0.1,0.0489897948556636,0,0,0.915204895091804,0.048,0,0,Standing
-0.709999999999999,0.505,0.1,0.710633520177594,0.505470078244004,0.1,0.03,0.0217944947177033,0,0.876997719495324,0.018,0.0095,0,Standing
-0.734999999999999,0.5,0.1,0.736545993132811,0.5,0.1,0.0476969600708473,0,0,0.89455296098107,0.0455,0,0,Standing
-0.865,0.4,0,0.866314030822542,0.4,0,0.0476969600708472,0,0,0.953008394506575,0.0455,0,0,Walkfast
-0.8,0.4,0,0.8,0.4,0,0,0,0,0.894427190999916,0,0,0,Walkfast
-0.885,0.309999999999999,0,0.885720046064218,0.311448230047948,0,0.0357071421427142,0.03,0,0.937723306738187,0.0255,0.018,0,Walkfast
-0.9,0.299999999999999,0,0.9,0.3,0,0,0,0,0.948683298050513,0,0,0,Walkfast
-0.895,0.299999999999999,-0.02,0.895265323800715,0.3,0.0447213595499958,0.0217944947177033,0,0.04,0.944153059625397,0.0095,0,0.032,Walkfast
-0.9,0.309999999999999,0,0.9,0.311448230047948,0,0,0.03,0,0.951892851112981,0,0.018,0,Walkfast
-0.88,0.34,0,0.880908621821809,0.343511280746353,0,0.0399999999999999,0.0489897948556635,0,0.94339811320566,0.032,0.048,0,Walkfast
-0.84,0.38,0,0.841427358718505,0.382099463490856,0,0.0489897948556635,0.04,0,0.921954445729289,0.048,0.032,0,Walkfast
-0.885,0.375,0.015,0.885720046064218,0.377491721763537,0.0387298334620741,0.0357071421427142,0.0433012701892219,0.0357071421427142,0.961288198200727,0.0255,0.0375,0.0255,Walkfast
-0.845,0.395,0.065,0.846463230152379,0.395600808897049,0.0806225774829855,0.0497493718553309,0.0217944947177033,0.0476969600708472,0.935026737585616,0.0494999999999999,0.0095,0.0455,Walkfast
-0.805,0.4,0.08,0.805294977011529,0.4,0.0894427190999916,0.0217944947177033,0,0.04,0.902454985026954,0.0095,0,0.032,Walkfast
-0.815,0.405,0.075,0.815781833580523,0.405585995813465,0.0866025403784438,0.0357071421427142,0.0217944947177033,0.0433012701892219,0.913167564031925,0.0255,0.0095,0.0375,Walkfast
-0.81,0.42,0.0549999999999999,0.810555365166377,0.421900462194579,0.0741619848709566,0.0299999999999999,0.0399999999999999,0.0497493718553309,0.914070566203726,0.018,0.032,0.0495,Walkfast
-0.794999999999999,0.435,0.0649999999999999,0.797182538694871,0.437607129740821,0.0921954445729288,0.058949130612758,0.0476969600708472,0.0653834841531101,0.908556547497182,0.038,0.0454999999999999,0.0585,Walkfast
-0.88,0.405,0.08,0.883176086632784,0.410487515035475,0.104880884817015,0.0748331477354788,0.0668954408012982,0.0678232998312526,0.972021090306172,0.056,0.0474999999999999,0.056,Walkfast
-0.825,0.319999999999999,-0.02,0.833966426182733,0.328633534503099,0.0447213595499958,0.121963109176504,0.0748331477354788,0.04,0.8851129871378,0.0924999999999999,0.056,0.032,Walkfast
-0.915,0.234999999999999,-0.005,0.919510739469637,0.259807621135331,0.0223606797749979,0.0909670269933012,0.110792599030801,0.0217944947177033,0.9447089498888,0.071,0.0954999999999999,0.0095,Walkfast
-0.85,0.345,0.015,0.853229160308061,0.357071421427142,0.0591607978309961,0.0741619848709566,0.0920597631976098,0.0572276157112979,0.91746934553695,0.0649999999999999,0.0794999999999999,0.0425,Walkfast
-0.9,0.26,0.065,0.904986187739901,0.264575131106459,0.0806225774829855,0.0948683298050513,0.0489897948556635,0.0476969600708472,0.939055376428887,0.0699999999999999,0.048,0.0455,Walkfast
-0.865,0.339999999999999,-0.03,0.866890996607993,0.35213633723318,0.0707106781186547,0.0572276157112979,0.0916515138991167,0.0640312423743284,0.929905909218777,0.049,0.078,0.056,Walkfast
-0.875,0.339999999999999,0.01,0.883459110542191,0.354964786985977,0.0316227766016838,0.121963109176504,0.101980390271855,0.0299999999999999,0.938789113699131,0.1075,0.088,0.018,Walkfast
-0.849999999999999,0.265,-0.0399999999999999,0.857321409974112,0.299165506033031,0.0836660026534075,0.111803398874989,0.138834433769148,0.0734846922834953,0.891249123421728,0.0949999999999999,0.121499999999999,0.066,Walkfast
-0.865,0.29,0,0.872066511224918,0.3,0.0447213595499958,0.110792599030801,0.0768114574786861,0.0447213595499958,0.912318475095182,0.092,0.063,0.02,Walkfast
-0.89,0.305,0.045,0.891066776397818,0.318590646441479,0.0670820393249937,0.0435889894354067,0.0920597631976098,0.0497493718553309,0.941886405040438,0.027,0.0764999999999999,0.0495,Walkfast
-0.825,0.435,-0.025,0.831564790019394,0.438748219369606,0.0591607978309961,0.104283268073071,0.0572276157112979,0.053619026473818,0.932992497290305,0.0824999999999999,0.0519999999999999,0.04,Walkfast
-0.82,0.345,0.11,0.836660026534075,0.365376518128902,0.137840487520902,0.166132477258361,0.120312094155159,0.0830662386291807,0.896395560006853,0.15,0.1095,0.064,Walkfast
-0.88,0.39,0.14,0.89162772500635,0.403732584763727,0.164316767251549,0.143527000944073,0.104403065089105,0.0860232526704262,0.972676719162127,0.108,0.0749999999999999,0.078,Walkfast
-0.919999999999999,0.245,0.18,0.940212741883452,0.272946881279123,0.197484176581315,0.193907194296653,0.120312094155159,0.0812403840463596,0.96892982202015,0.174,0.100499999999999,0.066,Walkfast
-0.885,0.244999999999999,0.095,0.890786169627706,0.302489669245083,0.124498995979887,0.101365674663566,0.177411949992101,0.0804673846971554,0.923187413259084,0.071,0.132999999999999,0.0665,Walkfast
-0.845,0.345,0.0849999999999999,0.862264460591992,0.369459064038223,0.111803398874989,0.171682847133893,0.132193040664022,0.0726291952316697,0.916665151513899,0.1505,0.119499999999999,0.0594999999999999,Walkfast
-0.885,0.335,-0.005,0.904709898254683,0.348568501158667,0.0591607978309961,0.187816399709929,0.0963068014212911,0.0589491306127579,0.946295408421704,0.131,0.085,0.038,Walkfast
-0.874999999999999,0.385,0.03,0.884590300647706,0.401870625948202,0.0547722557505166,0.129903810567665,0.115217186218029,0.0458257569495584,0.956425637464826,0.1175,0.0995,0.042,Walkfast
-0.835,0.309999999999999,0.0499999999999999,0.845281018360166,0.328633534503099,0.0707106781186547,0.131434394280949,0.109087121146357,0.05,0.892090242071955,0.1055,0.093,0.05,Walkfast
-0.854999999999999,0.315,0.1,0.87435690653188,0.330907842155486,0.1,0.182961744635319,0.101365674663566,0,0.916651515026293,0.1605,0.088,0,Walkfast
-0.869999999999999,0.3,0.01,0.905538513813741,0.344963766213206,0.1,0.251197133741609,0.170293863659264,0.0994987437106619,0.920326029187483,0.207,0.14,0.074,Walkfast
-0.814999999999999,0.425,0.08,0.826740588092782,0.431856457633783,0.0894427190999916,0.138834433769148,0.0766485485837794,0.04,0.922632104362296,0.118,0.0674999999999999,0.032,Walkfast
-0.87,0.435,0.0499999999999999,0.883742043811428,0.45,0.0707106781186547,0.1552417469626,0.115217186218029,0.05,0.973973818949975,0.128999999999999,0.0949999999999999,0.05,Walkfast
-0.744999999999999,0.404999999999999,0.00999999999999999,0.754652237789036,0.420119030752,0.0632455532033676,0.120312094155159,0.111691539518443,0.062449979983984,0.848027122207774,0.0984999999999999,0.086,0.045,Walkfast
